random_state,target,r2,Modelo,posicion
1,orib_shannon_z,0.2166537924408829,Random Forest con RegressorChain,4
1,orib_shannon_z,0.1677989518015613,RandomForest Multisalida,5
1,orib_shannon_z,0.1632096017202051,RF Individual,6
1,orib_shannon_z,0.1569763504755617,XGBoost Individual,7
1,orib_shannon_z,0.1137253501355812,Regresión Individual,8
1,orib_species_richness_z,0.2667799308634814,MLP Perdida Custom,1
1,orib_species_richness_z,0.2492940473962043,XGBoost Multisalida,2
1,orib_species_richness_z,0.2403810572576236,MLP Estandar,3
1,orib_species_richness_z,0.2371082217380083,RandomForest Multisalida,4
1,orib_species_richness_z,0.2282901405479371,Random Forest con RegressorChain,5
1,orib_species_richness_z,0.2236571225809753,RF Individual,6
1,orib_species_richness_z,0.092076863981214,Regresión Individual,7
1,orib_species_richness_z,-0.1267094419770009,XGBoost Individual,8
2,bac_asv_richness_z,0.013779120812257,XGBoost Multisalida,1
2,bac_asv_richness_z,-0.0074793611463541,RF Individual,2
2,bac_asv_richness_z,-0.0099326313385641,RandomForest Multisalida,3
2,bac_asv_richness_z,-0.0504054553042339,XGBoost Individual,4
2,bac_asv_richness_z,-0.0511563352394484,Random Forest con RegressorChain,5
2,bac_asv_richness_z,-0.0760556702294383,Regresión Individual,6
2,bac_asv_richness_z,-0.0865076168577883,MLP Perdida Custom,7
2,bac_asv_richness_z,-0.0867989356276093,MLP Estandar,8
2,bac_shannon_z,0.0088654088471945,RandomForest Multisalida,1
2,bac_shannon_z,-0.0090607470030414,Random Forest con RegressorChain,2
2,bac_shannon_z,-0.0144814014494429,RF Individual,3
2,bac_shannon_z,-0.0336592337383212,MLP Perdida Custom,4
2,bac_shannon_z,-0.0370277152024962,XGBoost Multisalida,5
2,bac_shannon_z,-0.0693083794655502,MLP Estandar,6
2,bac_shannon_z,-0.0812391862285295,Regresión Individual,7
2,bac_shannon_z,-0.2091851813239265,XGBoost Individual,8
2,cerc_asv_richness_z,0.119739344170107,RandomForest Multisalida,1
2,cerc_asv_richness_z,0.116160931140134,RF Individual,2
2,cerc_asv_richness_z,0.1127407869442002,XGBoost Multisalida,3
2,cerc_asv_richness_z,0.1018608131860397,Regresión Individual,4
2,cerc_asv_richness_z,0.0763897442533998,Random Forest con RegressorChain,5
2,cerc_asv_richness_z,-0.0037691705848834,XGBoost Individual,6
2,cerc_asv_richness_z,-0.0101659212349709,MLP Perdida Custom,7
2,cerc_asv_richness_z,-0.0331532576560842,MLP Estandar,8
2,cerc_shannon_z,0.015451015952051,Regresión Individual,1
2,cerc_shannon_z,-0.0086891002634661,RandomForest Multisalida,2
2,cerc_shannon_z,-0.0214455317376609,RF Individual,3
2,cerc_shannon_z,-0.0234410458186824,Random Forest con RegressorChain,4
2,cerc_shannon_z,-0.0516638812581369,XGBoost Multisalida,5
2,cerc_shannon_z,-0.0571863629745743,MLP Perdida Custom,6
2,cerc_shannon_z,-0.2294466896673472,MLP Estandar,7
2,cerc_shannon_z,-0.5394929450089265,XGBoost Individual,8
2,coll_shannon_z,-0.2039005508547358,RandomForest Multisalida,1
2,coll_shannon_z,-0.3308733374309187,Random Forest con RegressorChain,2
2,coll_shannon_z,-0.3525892859168522,XGBoost Multisalida,3
2,coll_shannon_z,-0.4255350249396459,RF Individual,4
2,coll_shannon_z,-0.4997815668028846,Regresión Individual,5
2,coll_shannon_z,-0.7069237846791518,XGBoost Individual,6
2,coll_shannon_z,-0.7875134201466794,MLP Estandar,7
2,coll_shannon_z,-1.3792870899386598,MLP Perdida Custom,8
2,coll_species_richness_z,-0.3257626746486788,RandomForest Multisalida,1
2,coll_species_richness_z,-0.5457625900509502,RF Individual,2
2,coll_species_richness_z,-0.7340579954886903,Regresión Individual,3
2,coll_species_richness_z,-0.7406159393051406,XGBoost Multisalida,4
2,coll_species_richness_z,-0.8919052617537844,XGBoost Individual,5
2,coll_species_richness_z,-1.0339397004159974,Random Forest con RegressorChain,6
2,coll_species_richness_z,-1.4211196017048089,MLP Estandar,7
2,coll_species_richness_z,-2.298925145752974,MLP Perdida Custom,8
2,earthworm_richness_z,0.5687486763713632,XGBoost Multisalida,1
2,earthworm_richness_z,0.5575923684277664,Random Forest con RegressorChain,2
2,earthworm_richness_z,0.5456969707715168,RF Individual,3
